,location_name,vehicle,value_description,nutrient,n_data_points,value_means
0,Angola,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
1,Angola,maize flour,percent of vehicle that is fortified,iron,0,[nan]
2,Angola,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
3,Angola,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
4,Angola,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
5,Angola,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
6,Angola,oil,percent of vehicle that is fortified,vitamin a,0,[nan]
7,Angola,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
8,Angola,wheat flour,percent of vehicle that is fortified,folic acid,0,[nan]
9,Angola,wheat flour,percent of vehicle that is fortified,iron,0,[nan]
10,Angola,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
11,Angola,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
12,Angola,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
13,Angola,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
14,Bangladesh,oil,percent of vehicle that is fortified,vitamin a,1,[61.0]
15,Bangladesh,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
16,Bangladesh,wheat flour,percent of vehicle that is fortified,folic acid,1,[1.0]
17,Bangladesh,wheat flour,percent of vehicle that is fortified,iron,1,[1.0]
18,Bangladesh,wheat flour,percent of vehicle that is fortified,vitamin a,1,[1.0]
19,Bangladesh,wheat flour,percent of vehicle that is fortified,vitamin b1,1,[1.0]
20,Bangladesh,wheat flour,percent of vehicle that is fortified,vitamin b12,1,[1.0]
21,Bangladesh,wheat flour,percent of vehicle that is fortified,zinc,1,[1.0]
22,Burkina Faso,bouillon,percent of vehicle that is fortified,folic acid,0,[nan]
23,Burkina Faso,bouillon,percent of vehicle that is fortified,iron,0,[nan]
24,Burkina Faso,bouillon,percent of vehicle that is fortified,vitamin a,0,[nan]
25,Burkina Faso,bouillon,percent of vehicle that is fortified,zinc,0,[nan]
26,Burkina Faso,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
27,Burkina Faso,maize flour,percent of vehicle that is fortified,iron,0,[nan]
28,Burkina Faso,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
29,Burkina Faso,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
30,Burkina Faso,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
31,Burkina Faso,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
32,Burkina Faso,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
33,Burkina Faso,wheat flour,percent of vehicle that is fortified,folic acid,1,[62.0]
34,Burkina Faso,wheat flour,percent of vehicle that is fortified,iron,1,[62.0]
35,Burkina Faso,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
36,Burkina Faso,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
37,Burkina Faso,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
38,Burkina Faso,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
39,Cameroon,bouillon,percent of vehicle that is fortified,folic acid,0,[nan]
40,Cameroon,bouillon,percent of vehicle that is fortified,iron,0,[nan]
41,Cameroon,bouillon,percent of vehicle that is fortified,vitamin a,0,[nan]
42,Cameroon,bouillon,percent of vehicle that is fortified,zinc,0,[nan]
43,Cameroon,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
44,Cameroon,maize flour,percent of vehicle that is fortified,iron,0,[nan]
45,Cameroon,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
46,Cameroon,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
47,Cameroon,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
48,Cameroon,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
49,Cameroon,oil,percent of vehicle that is fortified,vitamin a,3,"[44.0, 35.0, 54.0]"
50,Cameroon,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
51,Cameroon,wheat flour,percent of vehicle that is fortified,folic acid,3,"[100.0, 100.0, 76.0]"
52,Cameroon,wheat flour,percent of vehicle that is fortified,iron,3,"[100.0, 100.0, 76.0]"
53,Cameroon,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
54,Cameroon,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
55,Cameroon,wheat flour,percent of vehicle that is fortified,vitamin b12,3,"[100.0, 100.0, 76.0]"
56,Cameroon,wheat flour,percent of vehicle that is fortified,zinc,3,"[100.0, 100.0, 76.0]"
57,China,oil,percent of vehicle that is fortified,vitamin a,0,[nan]
58,China,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
59,China,wheat flour,percent of vehicle that is fortified,folic acid,1,[1.0]
60,China,wheat flour,percent of vehicle that is fortified,iron,1,[1.0]
61,China,wheat flour,percent of vehicle that is fortified,vitamin a,1,[1.0]
62,China,wheat flour,percent of vehicle that is fortified,vitamin b1,1,[1.0]
63,China,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
64,China,wheat flour,percent of vehicle that is fortified,zinc,1,[1.0]
65,Côte d'Ivoire,bouillon,percent of vehicle that is fortified,folic acid,0,[nan]
66,Côte d'Ivoire,bouillon,percent of vehicle that is fortified,iron,0,[nan]
67,Côte d'Ivoire,bouillon,percent of vehicle that is fortified,vitamin a,0,[nan]
68,Côte d'Ivoire,bouillon,percent of vehicle that is fortified,zinc,0,[nan]
69,Côte d'Ivoire,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
70,Côte d'Ivoire,maize flour,percent of vehicle that is fortified,iron,0,[nan]
71,Côte d'Ivoire,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
72,Côte d'Ivoire,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
73,Côte d'Ivoire,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
74,Côte d'Ivoire,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
75,Côte d'Ivoire,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
76,Côte d'Ivoire,wheat flour,percent of vehicle that is fortified,folic acid,1,[99.0]
77,Côte d'Ivoire,wheat flour,percent of vehicle that is fortified,iron,1,[99.0]
78,Côte d'Ivoire,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
79,Côte d'Ivoire,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
80,Côte d'Ivoire,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
81,Côte d'Ivoire,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
82,Democratic Republic of the Congo,bouillon,percent of vehicle that is fortified,folic acid,0,[nan]
83,Democratic Republic of the Congo,bouillon,percent of vehicle that is fortified,iron,0,[nan]
84,Democratic Republic of the Congo,bouillon,percent of vehicle that is fortified,vitamin a,0,[nan]
85,Democratic Republic of the Congo,bouillon,percent of vehicle that is fortified,zinc,0,[nan]
86,Democratic Republic of the Congo,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
87,Democratic Republic of the Congo,maize flour,percent of vehicle that is fortified,iron,0,[nan]
88,Democratic Republic of the Congo,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
89,Democratic Republic of the Congo,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
90,Democratic Republic of the Congo,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
91,Democratic Republic of the Congo,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
92,Democratic Republic of the Congo,oil,percent of vehicle that is fortified,vitamin a,0,[nan]
93,Democratic Republic of the Congo,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
94,Democratic Republic of the Congo,wheat flour,percent of vehicle that is fortified,folic acid,0,[nan]
95,Democratic Republic of the Congo,wheat flour,percent of vehicle that is fortified,iron,0,[nan]
96,Democratic Republic of the Congo,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
97,Democratic Republic of the Congo,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
98,Democratic Republic of the Congo,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
99,Democratic Republic of the Congo,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
100,Egypt,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
101,Egypt,maize flour,percent of vehicle that is fortified,iron,0,[nan]
102,Egypt,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
103,Egypt,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
104,Egypt,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
105,Egypt,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
106,Egypt,oil,percent of vehicle that is fortified,vitamin a,0,[nan]
107,Egypt,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
108,Egypt,wheat flour,percent of vehicle that is fortified,folic acid,0,[nan]
109,Egypt,wheat flour,percent of vehicle that is fortified,iron,0,[nan]
110,Egypt,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
111,Egypt,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
112,Egypt,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
113,Egypt,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
114,Ethiopia,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
115,Ethiopia,maize flour,percent of vehicle that is fortified,iron,0,[nan]
116,Ethiopia,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
117,Ethiopia,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
118,Ethiopia,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
119,Ethiopia,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
120,Ethiopia,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
121,Ethiopia,salt,percent of vehicle that is fortified,folic acid,0,[nan]
122,Ethiopia,wheat flour,percent of vehicle that is fortified,iron,0,[nan]
123,Ethiopia,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
124,Ethiopia,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
125,Ethiopia,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
126,Ethiopia,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
127,Ghana,bouillon,percent of vehicle that is fortified,folic acid,0,[nan]
128,Ghana,bouillon,percent of vehicle that is fortified,iron,0,[nan]
129,Ghana,bouillon,percent of vehicle that is fortified,vitamin a,0,[nan]
130,Ghana,bouillon,percent of vehicle that is fortified,zinc,0,[nan]
131,Ghana,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
132,Ghana,maize flour,percent of vehicle that is fortified,iron,0,[nan]
133,Ghana,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
134,Ghana,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
135,Ghana,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
136,Ghana,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
137,Ghana,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
138,Ghana,rice,percent of vehicle that is fortified,folic acid,0,[nan]
139,Ghana,rice,percent of vehicle that is fortified,iron,0,[nan]
140,Ghana,rice,percent of vehicle that is fortified,vitamin b1,0,[nan]
141,Ghana,rice,percent of vehicle that is fortified,vitamin b12,0,[nan]
142,Ghana,rice,percent of vehicle that is fortified,zinc,0,[nan]
143,Ghana,wheat flour,percent of vehicle that is fortified,folic acid,5,"[100.0, 13.0, 47.0, 25.0, 100.0]"
144,Ghana,wheat flour,percent of vehicle that is fortified,iron,5,"[100.0, 13.0, 47.0, 25.0, 100.0]"
145,Ghana,wheat flour,percent of vehicle that is fortified,vitamin a,5,"[100.0, 13.0, 47.0, 25.0, 100.0]"
146,Ghana,wheat flour,percent of vehicle that is fortified,vitamin b1,5,"[100.0, 13.0, 47.0, 25.0, 100.0]"
147,Ghana,wheat flour,percent of vehicle that is fortified,vitamin b12,5,"[100.0, 13.0, 47.0, 25.0, 100.0]"
148,Ghana,wheat flour,percent of vehicle that is fortified,zinc,5,"[100.0, 13.0, 47.0, 25.0, 100.0]"
149,India,rice,percent of vehicle that is fortified,folic acid,1,[0.0]
150,India,rice,percent of vehicle that is fortified,iron,1,[0.0]
151,India,rice,percent of vehicle that is fortified,vitamin b1,1,[0.0]
152,India,rice,percent of vehicle that is fortified,vitamin b12,1,[0.0]
153,India,rice,percent of vehicle that is fortified,zinc,1,[0.0]
154,India,salt,percent of vehicle that is fortified,folic acid,0,[nan]
155,India,wheat flour,percent of vehicle that is fortified,vitamin a,1,[2.0]
156,India,wheat flour,percent of vehicle that is fortified,vitamin b1,1,[2.0]
157,India,wheat flour,percent of vehicle that is fortified,zinc,1,[2.0]
158,Indonesia,oil,percent of vehicle that is fortified,vitamin a,1,[43.0]
159,Indonesia,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
160,Indonesia,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
161,Indonesia,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
162,Kenya,maize flour,percent of vehicle that is fortified,folic acid,1,[0.0]
163,Kenya,maize flour,percent of vehicle that is fortified,iron,1,[0.0]
164,Kenya,maize flour,percent of vehicle that is fortified,vitamin a,1,[0.0]
165,Kenya,maize flour,percent of vehicle that is fortified,vitamin b1,1,[0.0]
166,Kenya,maize flour,percent of vehicle that is fortified,vitamin b12,1,[0.0]
167,Kenya,maize flour,percent of vehicle that is fortified,zinc,1,[0.0]
168,Kenya,oil,percent of vehicle that is fortified,vitamin a,0,[nan]
169,Kenya,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
170,Kenya,wheat flour,percent of vehicle that is fortified,folic acid,1,[100.0]
171,Kenya,wheat flour,percent of vehicle that is fortified,iron,1,[100.0]
172,Kenya,wheat flour,percent of vehicle that is fortified,vitamin a,2,"[100.0, 100.0]"
173,Kenya,wheat flour,percent of vehicle that is fortified,vitamin b1,1,[100.0]
174,Kenya,wheat flour,percent of vehicle that is fortified,vitamin b12,1,[100.0]
175,Kenya,wheat flour,percent of vehicle that is fortified,zinc,1,[100.0]
176,Madagascar,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
177,Madagascar,maize flour,percent of vehicle that is fortified,iron,0,[nan]
178,Madagascar,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
179,Madagascar,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
180,Madagascar,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
181,Madagascar,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
182,Madagascar,oil,percent of vehicle that is fortified,vitamin a,0,[nan]
183,Madagascar,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
184,Madagascar,wheat flour,percent of vehicle that is fortified,folic acid,0,[nan]
185,Madagascar,wheat flour,percent of vehicle that is fortified,iron,0,[nan]
186,Madagascar,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
187,Madagascar,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
188,Madagascar,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
189,Madagascar,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
190,Mozambique,maize flour,percent of vehicle that is fortified,folic acid,1,[70.0]
191,Mozambique,maize flour,percent of vehicle that is fortified,iron,1,[70.0]
192,Mozambique,maize flour,percent of vehicle that is fortified,vitamin a,1,[70.0]
193,Mozambique,maize flour,percent of vehicle that is fortified,vitamin b1,1,[70.0]
194,Mozambique,maize flour,percent of vehicle that is fortified,vitamin b12,1,[70.0]
195,Mozambique,maize flour,percent of vehicle that is fortified,zinc,1,[70.0]
196,Mozambique,oil,percent of vehicle that is fortified,vitamin a,1,[39.0]
197,Mozambique,oil,percent of vehicle that is fortified,vitamin d,1,[39.0]
198,Mozambique,wheat flour,percent of vehicle that is fortified,folic acid,1,[60.0]
199,Mozambique,wheat flour,percent of vehicle that is fortified,iron,1,[60.0]
200,Mozambique,wheat flour,percent of vehicle that is fortified,vitamin a,1,[60.0]
201,Mozambique,wheat flour,percent of vehicle that is fortified,vitamin b1,1,[60.0]
202,Mozambique,wheat flour,percent of vehicle that is fortified,vitamin b12,1,[60.0]
203,Mozambique,wheat flour,percent of vehicle that is fortified,zinc,1,[60.0]
204,Myanmar,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
205,Myanmar,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
206,Myanmar,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
207,Nepal,oil,percent of vehicle that is fortified,vitamin a,0,[nan]
208,Nepal,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
209,Nepal,wheat flour,percent of vehicle that is fortified,folic acid,1,[20.0]
210,Nepal,wheat flour,percent of vehicle that is fortified,iron,1,[20.0]
211,Nepal,wheat flour,percent of vehicle that is fortified,vitamin a,1,[20.0]
212,Nepal,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
213,Nepal,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
214,Nepal,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
215,Niger,bouillon,percent of vehicle that is fortified,folic acid,0,[nan]
216,Niger,bouillon,percent of vehicle that is fortified,iron,0,[nan]
217,Niger,bouillon,percent of vehicle that is fortified,vitamin a,0,[nan]
218,Niger,bouillon,percent of vehicle that is fortified,zinc,0,[nan]
219,Niger,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
220,Niger,maize flour,percent of vehicle that is fortified,iron,0,[nan]
221,Niger,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
222,Niger,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
223,Niger,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
224,Niger,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
225,Niger,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
226,Niger,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
227,Niger,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
228,Niger,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
229,Niger,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
230,Nigeria,bouillon,percent of vehicle that is fortified,folic acid,0,[nan]
231,Nigeria,bouillon,percent of vehicle that is fortified,iron,0,[nan]
232,Nigeria,bouillon,percent of vehicle that is fortified,vitamin a,0,[nan]
233,Nigeria,bouillon,percent of vehicle that is fortified,zinc,0,[nan]
234,Nigeria,maize flour,percent of vehicle that is fortified,iron,1,[80.0]
235,Nigeria,maize flour,percent of vehicle that is fortified,vitamin b1,1,[80.0]
236,Nigeria,maize flour,percent of vehicle that is fortified,vitamin b12,1,[80.0]
237,Nigeria,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
238,Nigeria,rice,percent of vehicle that is fortified,folic acid,0,[nan]
239,Nigeria,rice,percent of vehicle that is fortified,iron,0,[nan]
240,Nigeria,rice,percent of vehicle that is fortified,vitamin b1,0,[nan]
241,Nigeria,rice,percent of vehicle that is fortified,vitamin b12,0,[nan]
242,Nigeria,rice,percent of vehicle that is fortified,zinc,0,[nan]
243,Nigeria,salt,percent of vehicle that is fortified,folic acid,0,[nan]
244,Nigeria,salt,percent of vehicle that is fortified,iron,0,[nan]
245,Nigeria,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
246,Pakistan,oil,percent of vehicle that is fortified,vitamin d,1,[68.0]
247,Pakistan,wheat flour,percent of vehicle that is fortified,folic acid,0,[nan]
248,Pakistan,wheat flour,percent of vehicle that is fortified,vitamin a,0,[nan]
249,Pakistan,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
250,Pakistan,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
251,Pakistan,wheat flour,percent of vehicle that is fortified,zinc,0,[nan]
252,South Africa,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
253,South Africa,oil,percent of vehicle that is fortified,vitamin a,0,[nan]
254,South Africa,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
255,South Africa,wheat flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
256,Sudan,maize flour,percent of vehicle that is fortified,folic acid,0,[nan]
257,Sudan,maize flour,percent of vehicle that is fortified,iron,0,[nan]
258,Sudan,maize flour,percent of vehicle that is fortified,vitamin a,0,[nan]
259,Sudan,maize flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
260,Sudan,maize flour,percent of vehicle that is fortified,vitamin b12,0,[nan]
261,Sudan,maize flour,percent of vehicle that is fortified,zinc,0,[nan]
262,Sudan,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
263,Sudan,wheat flour,percent of vehicle that is fortified,folic acid,2,"[32.0, 40.0]"
264,Sudan,wheat flour,percent of vehicle that is fortified,iron,2,"[32.0, 40.0]"
265,Sudan,wheat flour,percent of vehicle that is fortified,vitamin a,1,[40.0]
266,Sudan,wheat flour,percent of vehicle that is fortified,vitamin b1,0,[nan]
267,Sudan,wheat flour,percent of vehicle that is fortified,vitamin b12,1,[40.0]
268,Sudan,wheat flour,percent of vehicle that is fortified,zinc,1,[40.0]
269,Vietnam,oil,percent of vehicle that is fortified,vitamin a,0,[nan]
270,Vietnam,oil,percent of vehicle that is fortified,vitamin d,0,[nan]
271,Vietnam,wheat flour,percent of vehicle that is fortified,folic acid,1,[0.0]
272,Vietnam,wheat flour,percent of vehicle that is fortified,iron,1,[0.0]
273,Vietnam,wheat flour,percent of vehicle that is fortified,vitamin a,1,[0.0]
274,Vietnam,wheat flour,percent of vehicle that is fortified,vitamin b1,1,[0.0]
275,Vietnam,wheat flour,percent of vehicle that is fortified,vitamin b12,1,[0.0]
276,Vietnam,wheat flour,percent of vehicle that is fortified,zinc,1,[0.0]
